Elf Light_3654963 (x=49, y=61) killed Robber Fierce_4170973 (x=40, y=60)
Elf Light_1371076 (x=21, y=38) killed Robber Fierce_4264281 (x=0, y=71)
Elf Wise_684554 (x=91, y=83) killed Robber Cruel_2524797 (x=87, y=57)
Elf Quiet_3626737 (x=93, y=2) killed Knight Noble_476296 (x=72, y=0)
Elf Quiet_3626737 (x=93, y=2) killed Robber Dangerous_847039 (x=89, y=25)
Elf Wise_684554 (x=91, y=83) killed Knight Smart_233656 (x=69, y=87)
Elf Light_56560 (x=0, y=0) killed Elf Light_1371076 (x=21, y=38)
Elf Light_56560 (x=0, y=0) and Elf Wise_442544 (x=13, y=32) killed each other
Elf Light_56560 (x=0, y=0) killed Elf Wise_442544 (x=13, y=32)
Elf Wise_684554 (x=91, y=83) killed Elf Light_3654963 (x=49, y=61)
Elf Wise_684554 (x=91, y=83) killed Elf Quiet_253971 (x=58, y=46)
Elf Wise_684554 (x=91, y=83) and Elf Dark_136336 (x=99, y=48) killed each other
Elf Wise_684554 (x=91, y=83) killed Elf Dark_136336 (x=99, y=48)
Elf Quiet_3652142 (x=46, y=10) killed Knight Mighty_3875404 (x=23, y=22)
Robber Fierce_1625001 (x=29, y=69) killed Knight Fearless_3515878 (x=23, y=68)
Elf Wise_2737428 (x=43, y=62) killed Robber Fierce_1625001 (x=29, y=69)
Elf Dark_3922464 (x=74, y=99) killed Robber Fierce_2190820 (x=63, y=98)
Elf Quiet_3652142 (x=46, y=10) killed Elf Quiet_3626737 (x=93, y=2)
Elf Quiet_3652142 (x=46, y=10) killed Robber Fierce_2320161 (x=67, y=46)
Knight Noble_2222987 (x=49, y=51) killed Robber Fierce_1509289 (x=48, y=42)
Elf Quiet_3652142 (x=46, y=10) killed Knight Noble_2222987 (x=49, y=51)
Knight Noble_3906937 (x=45, y=35) killed Robber Cruel_2644993 (x=45, y=31)
Elf Quiet_3652142 (x=46, y=10) killed Knight Noble_3906937 (x=45, y=35)
Elf Wise_462700 (x=8, y=82) killed Robber Fierce_2717423 (x=34, y=89)
Elf Dark_2485376 (x=61, y=14) killed Robber Evil_187350 (x=97, y=32)
Elf Quiet_3652142 (x=46, y=10) killed Robber Evil_3778076 (x=47, y=41)
Elf Quiet_3652142 (x=46, y=10) killed Robber Evil_627936 (x=69, y=28)
Elf Quiet_3652142 (x=46, y=10) killed Knight Mighty_227122 (x=55, y=40)
Elf Quiet_3652142 (x=46, y=10) killed Knight Fearless_2735940 (x=56, y=30)
Elf Quiet_3652142 (x=46, y=10) killed Robber Dangerous_1636273 (x=43, y=23)
Elf Quiet_3652142 (x=46, y=10) killed Knight Smart_633796 (x=67, y=10)
Elf Quiet_3652142 (x=46, y=10) killed Robber Evil_1161661 (x=59, y=48)
Knight Smart_3612948 (x=51, y=8) killed Elf Quiet_3652142 (x=46, y=10)
Elf Wise_462700 (x=8, y=82) killed Robber Fierce_4112363 (x=22, y=80)
Elf Wise_2737428 (x=43, y=62) killed Robber Dangerous_727025 (x=16, y=39)
Elf Wise_462700 (x=8, y=82) killed Elf Wise_2737428 (x=43, y=62)
Elf Wise_462700 (x=8, y=82) killed Knight Noble_640082 (x=55, y=75)
Elf Wise_462700 (x=8, y=82) killed Robber Cruel_1488389 (x=8, y=46)
Elf Dark_3922464 (x=74, y=99) killed Knight Mighty_48739 (x=58, y=91)
Elf Dark_3922464 (x=74, y=99) killed Elf Dark_1817284 (x=85, y=60)
Elf Dark_2485376 (x=61, y=14) killed Robber Fierce_641278 (x=40, y=25)
Knight Smart_3612948 (x=51, y=8) killed Robber Cruel_3402675 (x=46, y=8)
Elf Wise_462700 (x=18, y=82) killed Knight Mighty_1567669 (x=17, y=95)
Elf Wise_462700 (x=18, y=82) killed Knight Fearless_1624728 (x=0, y=55)
Elf Dark_3922464 (x=78, y=99) and Knight Noble_2983180 (x=81, y=97) killed each other
Elf Dark_3922464 (x=78, y=99) killed Knight Noble_2983180 (x=81, y=97)
Elf Dark_2485376 (x=73, y=14) killed Knight Smart_3612948 (x=54, y=22)
Elf Dark_2485376 (x=81, y=8) killed Knight Fearless_636905 (x=44, y=0)
